Meaunit,Name
'',Inch
''2,Square inch
''3,Cubic inch
%,Percentage
%O,Per mille
0,Meter/Minute
1,
ACR,Acre
AU,Activity unit
BAG,Bag
BT,Bottle
C3S,Cubic centimeter/second
CAN,Canister
CAR,Carton
CCM,Cubic centimeter
CD3,Cubic decimeter
CL,Centiliter
CM,Centimeter
CM2,Square centimeter
CMS,Centimeter/second
CRT,Crate
CV,Case
D,Days
DAY,Days
DEG,Degree
DM,Decimeter
DR,Drum
DZ,Dozen
EA,each
EML,Enzyme Units/Milliliter
EU,Enzyme Units
FOZ,Fluid Ounce US
FT,Foot
FT2,Square foot
FT3,Cubic foot
G,Gram
G/L,Gram Active Ingredient/Liter
GAI,Gram Active Ingredient
GAL,US gallon
GAU,Gram Gold
GJ,Gigajoule
GLI,Gram/liter
GM,Gram/Mole
GM2,Gram/square meter
GM3,Gram/Cubic meter
GOH,Gigaohm
GPH,Gallons per hour (US)
GPM,Gallons per mile (US)
GRO,Gross
H,Hour
HA,Hectare
HL,Hectoliter
HR,Hours
JKG,Joule/Kilogram
JKK,Spec. Heat Capacity
JMO,Joule/Mole
KAI,Kilogram Active Ingredient
KD3,Kilogram/cubic decimeter
KG,Kilogram
KGM,Kilogram/Mole
KGS,Kilogram/second
KGV,Kilogram/cubic meter
KIK,kg Active Ingredient/kg
KJK,Kilojoule/kilogram
KJM,Kilojoule/Mole
KM,Kilometer
KM2,Square kilometer
KMH,Kilometer/hour
KML,Kilomol
KMN,Kelvin/Minute
KMS,Kelvin/Second
KPA,Kilopascal
KT,Kiloton
KVA,Kilovoltampere
L,Liter
LB,Pound
LHK,Liter per 100 km
LMI,Liter/Minute
LMS,Liter/Mole Second
LPH,Liter per hour
M,Meter
M-2,1/Square Meter
M/H,Meter/Hour
M/L,Mole per Liter
M/M,Mole per Cubic Meter
M/S,Meter/second
M2,Square meter
M2S,Square meter/second
M3,Cubic meter
M3D,Cubic meter/day
M3H,Cubic meter/Hour
M3S,Cubic meter/second
MEJ,Megajoule
MGO,Megohm
MGQ,Milligram/cubic meter
MHV,Megavolt
MI,Mile
MI2,Square mile
MIN,Minute
MIS,Microsecond
ML,Milliliter
MLI,Milliliter Active Ingredient
MM,Millimeter
MM2,Square millimeter
MM3,Cubic millimeter
MN,Meganewton
MNM,Millinewton/meter
MON,Months
MPG,Miles per gallon (US)
MPL,Millimole per Liter
MPS,Millipascal seconds
MS2,Meter/Square Second
MSC,Microsiemens per centimeter
MSE,Millisecond
MVA,Megavoltampere
MWH,Megawatt hour
NA,Nanoampere
NAM,Nanometer
NI,Kilonewton
NM,Newton/meter
NMM,Newton/Square millimeter
NS,Nanosecond
OCM,Specific Electrical Resistance
OM,Specific Electrical Resistance
OZ,Ounce
P,Points
PAA,Pair
PAC,Pack
PAL,Pallet
PAS,Pascal second
PC,Piece
PF,Pikofarad
PMI,1/minute
PMR,Permeation Rate SI
PPB,Parts per billion
PPM,Parts per million
PPT,Parts per trillion
PRC,Group proportion
PRM,Permeation Rate
PRS,Number of Persons
PS,Picosecond
PT,"Pint, US liquid"
QT,"Quart, US liquid"
R-U,Nanofarad
RF,Millifarad
RHO,Gram/Cubic Centimeter
ROL,Role
S/M,Siemens per meter
TO,Ton
TOM,Ton/Cubic meter
TON,US Ton
TS,Thousands
VAL,Value-Only Material
VAM,Voltampere
WK,Weeks
WKY,Evaporation Rate
WMK,Heat Conductivity
YD,Yards
YD2,Square Yard
YD3,Cubic yard
YR,Years
kgb,Kilogram/US Barrel
µA,Microampere
µF,Microfarad
µGL,Microgram/liter
µGQ,Microgram/cubic meter
µL,Microliter
µM,Micrometer
